epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,175.735,0.50592,0.60751,0.93583,0.97138,1,0.995,0.93465,0.34398,0.33738,0.8416,0.000279063,0.000279063,0.000279063
44,179.255,0.48298,0.56049,0.91796,0.98016,1,0.995,0.92727,0.35647,0.34746,0.84566,0.000264064,0.000264064,0.000264064
45,182.786,0.5244,0.59807,0.94625,0.97494,1,0.995,0.92262,0.34143,0.34098,0.84442,0.000249066,0.000249066,0.000249066
46,187.182,0.49039,0.53603,0.92904,0.97653,1,0.995,0.93733,0.32159,0.34092,0.84058,0.000234068,0.000234068,0.000234068
47,190.562,0.49636,0.53804,0.93556,0.97707,0.98417,0.995,0.93119,0.32841,0.33688,0.84062,0.000219069,0.000219069,0.000219069
48,193.962,0.49063,0.55465,0.93868,0.98265,0.98266,0.995,0.92163,0.31555,0.32001,0.83828,0.00020407,0.00020407,0.00020407
49,198.439,0.48057,0.53213,0.9335,0.98525,0.98316,0.995,0.93583,0.33681,0.30965,0.84092,0.000189072,0.000189072,0.000189072
50,201.899,0.46382,0.50604,0.91169,0.98178,0.98741,0.995,0.93668,0.32006,0.28931,0.84236,0.000174074,0.000174074,0.000174074
51,206.084,0.34459,0.52211,0.81265,0.98317,0.98218,0.995,0.94011,0.32009,0.39132,0.84205,0.000159075,0.000159075,0.000159075
52,209.701,0.33408,0.51679,0.80365,0.98647,1,0.995,0.9377,0.32133,0.32156,0.83934,0.000144077,0.000144077,0.000144077
53,213.5,0.34462,0.47219,0.81779,0.98267,1,0.995,0.94184,0.31389,0.31947,0.84155,0.000129078,0.000129078,0.000129078
54,216.508,0.35254,0.48675,0.80738,0.97231,1,0.995,0.93623,0.32727,0.30485,0.84608,0.00011408,0.00011408,0.00011408
55,219.639,0.33567,0.44861,0.81225,0.98067,1,0.995,0.93961,0.33877,0.3039,0.8452,9.9081e-05,9.9081e-05,9.9081e-05
56,223.206,0.32865,0.45642,0.82304,0.97929,1,0.995,0.93852,0.33659,0.31856,0.84249,8.40825e-05,8.40825e-05,8.40825e-05
57,226.909,0.33709,0.4584,0.81419,0.97814,1,0.995,0.94143,0.3206,0.30152,0.8403,6.9084e-05,6.9084e-05,6.9084e-05
58,229.982,0.32465,0.44837,0.81374,0.97011,0.99588,0.995,0.93543,0.32248,0.29847,0.84144,5.40855e-05,5.40855e-05,5.40855e-05
59,233.075,0.32195,0.44009,0.8062,0.97322,0.99947,0.995,0.93972,0.31532,0.28741,0.84174,3.9087e-05,3.9087e-05,3.9087e-05
60,236.893,0.31401,0.41874,0.80758,0.97772,0.99886,0.995,0.93879,0.30991,0.28521,0.84048,2.40885e-05,2.40885e-05,2.40885e-05
